City,Name of Attraction,Category,Hours,Rating,Cost (euro),,Ciudades,,Types of categories
London,Tower Bridge,Landmark,1,9,0,,,,
London,Westminster Abbey,Landmark,2,9,0,,,,
London,Big Ben,Landmark,1,9,0,,,,
London,Science Museum,Museum,2,9,0,,,,
London,Hampton Court Palace,Landmark,1,9,0,,,,
London,Royal Botanic Gardens Kew,Nature and Parks,2,9,5,,,,
London,The Regent's Nature and Parks,Nature and Parks,2,10,5,,,,
London,Piccadilly Circus,Fun and Games,4,10,50,,,,
London,Thames Speed Boat,BoatTours and WaterSports,2,10,25,,,,
London,The crystal Maze,Fun and Games,3,10,20,,,,
London,Prison Van Escape room,Fun and Games,5,8,10,,,,
London,ArcelorMitaal Orbit Slide,Fun and Games,1,8,20,,,,
London,Chessington World of Adventures Resort,Landmark,6,8,150,,,,
London,Cutty Sark,Landmark,1,9,15,,,,
London,Wembley Stadium,Landmark,2,9,10,,,,
London,Royal Air Force Museum London,Museum,3,9,0,,,,
London,The Harry Potter Shop at Platform 9 3/4,Landmark,1,9,0,,,,
London,The Sherlock Holmes Museum,Museum,2,9,0,,,,
London,Victoria Nature and Parks,Nature and Parks,3,9,0,,,,
London,Westminster Cathedral,Landmark,2,7,0,,,,
London,Portobello Road Market,Landmark,1,9,0,,,,
London,Harrods Store,Landmark,2,9,0,,,,
Manchester,Science and Industry Museum,Museum,1,9,5,,,,
Manchester,Manchester Art Gallery,Museum,2,9,5,,,,
Manchester,Manchester Museum,Museum,1,9,2,,,,
Manchester,National Football Museum,Museum,2,9,3,,,,
Manchester,IWM North,Museum,3,9,1,,,,
Manchester,John Rylands Library Research Institute and Library,Museum,1,9,5,,,,
Manchester,The Whitworth,Landmark,1,10,0,,,,
Manchester,The Lowry,Landmark,2,10,0,,,,
Manchester,LEGOLAND Discovery Centre,Fun and Games,3,9,10,,,,
Manchester,Chill Factore,Fun and Games,2,9,5,,,,
Manchester,East Lancs Railway,Landmark,1,9,1,,,,
Manchester,Fletcher Moss Nature and Parks,Nature and Parks,2,9,10,,,,
Manchester,SEA LIFE Manchester,Museum,4,9,20,,,,
Manchester,Museum of Transport (Greater Manchester),Museum,1,9,15,,,,
Manchester,Piccadilly Gardens,Museum,1,9,0,,,,
Manchester,Manchester Jewish Museum,Museum,1,10,0,,,,
Manchester,Gallery Oldham,Landmark,2,10,0,,,,
Manchester,Beetham Tower,Landmark,1,10,0,,,,
Manchester,Platt Fields Nature and Parks,Nature and Parks,1,10,0,,,,
Manchester,Inflata Nation Inflatable Theme Nature and Parks Manchester,Fun and Games,3,8,20,,,,
Manchester,The Crystal Maze LIVE Experience,Fun and Games,2,8,25,,,,
Manchester,Castlefield Urban Heritage Nature and Parks,Nature and Parks,2,8,0,,,,
Manchester,Peel Nature and Parks,Nature and Parks,2,9,0,,,,
Manchester,TeamSport Go Karting Manchester Victoria,Fun and Games,1,9,45,,,,
Manchester,iFLY Indoor Skydiving Manchester,Fun and Games,4,9,250,,,,
Manchester,Dino Falls Adventure Golf,Fun and Games,3,9,20,,,,
Manchester,Wythenshawe Nature and Parks Riding Stables Ltd,Fun and Games,6,9,40,,,,
Manchester,Lightopia festival at Heaton Nature and Parks,Nature and Parks,4,9,38,,,,
Manchester,Werneth Low Country Nature and Parks Visitors Centre,Nature and Parks,3,7,0,,,,
Manchester,Hartshead Pike,Nature and Parks,2,9,0,,,,
Berlin,Reichstag Building,Landmark,3,9,0,,,,
Berlin,Memorial of the Berlin Wall,Landmark,3,9,0,,,,
Berlin,Pergamonmuseum,Museum,3,9,25,,,,
Berlin,Friedrichstadt-Palast,Landmark,3,9,50,,,,
Berlin,Brandenburg Gate,Landmark,2,9,0,,,,
Berlin,Topography of Terror ,Museum,3,9,0,,,,
Berlin,The Holocaust Memorial,Landmark,2,9,0,,,,
Berlin,East Side Gallery ,Landmark,3,9,0,,,,
Berlin,Berliner Dom,Landmark,2,9,0,,,,
Berlin,Neues Musuem,Museum,3,9,12,,,,
Berlin,German Museum of Technology,Museum,3,9,8,,,,
Berlin,Tiergarten,Nature and Parks,2,9,16,,,,
Berlin,Charlottenburg Palace,Landmark,3,8,12,,,,
Berlin,Zoo Berlin,Zoo and Aquariums,3,9,55,,,,
Berlin,Deutsches Historisches Museum,Museum,3,9,8,,,,
Berlin,Olympiastadion Berlin,Landmark,2,9,9.44,,,,
Berlin,Gemaldegalerie,Museum,3,9,8,,,,
Berlin,Gendarmenmarkt,Landmark,3,9,0,,,,
Berlin,Classic Remise Berlin,Museum,2,9,100,,,,
Berlin,Berliner Philharmonie,Fun and Games,2,10,15,,,,
Berlin,Kaiser Wilhelm Memorial Church,Landmark,2,9,0,,,,
Berlin,German Spy Museum Berlin,Museum,3,8,7,,,,
Berlin,Museum fuer Naturkunde Berlin,Museum,3,9,8,,,,
Berlin,Treptower Nature and Parks,Nature and Parks,2,9,0,,,,
Berlin,Mall of Berlin,Fun and Games,2,8,0,,,,
Berlin,Gärten der Welt,Nature and Parks,2,9,0,,,,
Berlin,Aquarium Berlin,Zoo and Aquariums,3,8,55,,,,
Berlin,TierNature and Parks Berlin,Zoo and Aquariums,3,9,14.5,,,,
Berlin,Big Bus Berlin Hop on Hop off tour with Walking Tour,Landmark,2,8,27.7,,,,
Berlin,Berlin Icebar Experience,Fun and Games,1,10,22.5,,,,
Rome,Colosseum,Landmark,3,9,8.05,,,,
Rome,Galleria Nazionale d’Arte Moderna E Contemporanea,Museum,2,9,10,,,,
Rome,Pantheon,Landmark,2,9,8.05,,,,
Rome,Trevi Fountain,Landmark,2,9,0,,,,
Rome,Museo Nazionale Romano,Museum,2,9,12,,,,
Rome,Galleria Borghese,Museum,3,9,34.16,,,,
Rome,Villa Doria Pamphili,Nature and Parks,3,9,0,,,,
Rome,Palatine Hill,Landmark,3,9,25.31,,,,
Rome,Parco Savello,Nature and Parks,1,9,0,,,,
Rome,Vatican Museum,Museum,3,9,8.05,,,,
Rome,Leonardo Da Vinci Museum,Museum,2,8,11.84,,,,
Rome,Roman Forum,Landmark,3,9,25.31,,,,
Rome,Basilica di Santa Maria Magggiore,Landmark,2,9,5,,,,
Rome,Via Appia Antica,Landmark,3,9,4,,,,
Rome,Santa Maria Sopra Minerva,Landmark,1,9,0,,,,
Rome,Horse Riding Trail in Ancient Rome,Fun and Games,3,9,84.67,,,,
Rome,Rome by Golf Cart Private Tour,Fun and Games,3,10,144.25,,,,
Rome,Private Urban Safari ,Fun and Games,3,10,28.85,,,,
Rome,Church of St. Louis of the French,Landmark,1,9,0,,,,
Rome,Spa at Trilussa Palace Hotel,Spa and Wellness,2,10,83,,,,
